12,2020-02-15 04:31:00,2020-02-16 19:41:00,10
18,2020-05-12 04:31:00,2020-05-24 14:23:00,18
8,2020-05-24 14:45:00,2020-05-26 00:50:00,50
3,2020-06-18 14:18:00,2020-06-18 23:09:00,16
15,2020-07-14 11:07:00,2020-07-23 06:15:00,17
23,2020-07-14 21:07:00,2020-07-19 00:04:00,17
21,2020-07-20 22:53:00,2020-08-02 14:30:00,28
13,2020-07-25 14:50:00,2020-08-06 06:27:00,17
11,2020-10-19 20:11:00,2020-10-20 12:07:00,47
17,2021-02-24 21:30:00,2021-02-27 13:55:00,7
1,2021-06-11 16:14:00,2021-06-20 12:40:00,9
2,2021-06-15 15:04:00,2021-06-25 23:22:00,22
22,2021-09-15 06:14:00,2021-09-17 03:07:00,41
24,2021-10-04 19:32:00,2021-10-07 16:58:00,41
9,2022-01-29 23:20:00,2022-02-07 18:33:00,36
14,2022-03-20 18:50:00,2022-04-02 17:50:00,16
7,2022-07-16 04:16:00,2022-07-26 20:09:00,36
6,2022-07-26 05:27:00,2022-07-31 10:39:00,27
4,2022-07-30 01:17:00,2022-08-03 17:24:00,6
20,2022-09-13 02:06:00,2022-09-22 01:57:00,36
19,2022-10-22 14:53:00,2022-10-30 05:35:00,20
16,2022-10-28 15:16:00,2022-10-30 17:22:00,40
5,2022-11-18 17:58:00,2022-11-27 13:07:00,34
10,2023-02-14 01:36:00,2023-02-16 13:35:00,33
